DATE,Equity,Benchmark_Value,Drawdown,Daily_Return
2021-01-01,99158.91953512192,,0.0,
2021-01-04,100447.74360509873,100000.0,0.0,0.012997560643249084
2021-01-05,101976.85635419846,100643.1875037952,0.0,0.01522296762694153
2021-01-06,100909.28377576829,100394.2984545375,-0.010468773176554369,-0.010468773176554369
2021-01-07,102484.43181272507,100635.48645998635,0.0,0.015609545306623618
2021-01-08,103733.17020841599,101999.69045479008,0.0,0.012184664281232438
2021-01-11,103625.90794797898,102691.63174677631,-0.001034020846191308,-0.001034020846191308
2021-01-12,104348.52109189988,103135.10161660946,0.0,0.006973286490128183
2021-01-13,104021.79386182786,102987.5623130962,-0.003131115100177384,-0.003131115100177384
2021-01-14,106208.4701313591,103230.47094221602,0.0,0.021021328207777357
2021-01-15,108767.29624219895,102047.59228368774,0.0,0.024092486292996096
2021-01-18,107191.19364591599,100721.87680284401,-0.014490592767639976,-0.014490592767639976
2021-01-19,109157.03427167893,102480.79687928982,0.0,0.018339572113140967
2021-01-20,111776.55773588181,103306.1616786538,0.0,0.0239977522445618
2021-01-21,111476.96850248337,102772.45929660069,-0.002680251024605229,-0.002680251024605229
2021-01-22,110800.31871839524,101391.57527523923,-0.00873384399431354,-0.006069861722810099
2021-01-25,112500.11652452662,100443.90420202193,0.0,0.015341091305445698
2021-01-27,112577.23813039971,98755.96402827403,0.0,0.0006855246754902122
2021-01-28,114999.13665563775,97868.16397677225,0.0,0.021513216751975373
2021-01-29,115674.58497411919,96669.4656035217,0.0,0.005873507733402006
2021-02-01,119911.13681204033,100670.132804584,0.0,0.036624742062995264
2021-02-02,123346.53354818535,103091.484641805,0.0,0.02864952186659675
2021-02-03,124582.68506033135,104124.68574604447,0.0,0.01002177747997357
2021-02-04,128674.28608114434,105080.90982236397,0.0,0.03284245333797031
2021-02-05,132613.68715078547,105029.59180375066,0.0,0.030615293774832963
2021-02-08,132378.63805563166,106410.47582511214,-0.0017724346574162775,-0.0017724346574162775
2021-02-09,128684.18874151421,106349.75284410322,-0.029631167745176268,-0.02790819854608917
2021-02-10,126611.33521825982,106505.8451507187,-0.04526193382814858,-0.01610806691580502
2021-02-11,124880.13720113946,107033.13278044517,-0.05831637831510372,-0.013673325647628798
2021-02-12,123319.28486425591,106985.66528373628,-0.07008629717052928,-0.012498803827942218
2021-02-15,122779.28596670342,108041.96116686016,-0.0741582667323023,-0.004378868221194265
2021-02-16,124217.44050668908,108171.5425048756,-0.06331357512554203,0.011713332005984123
2021-02-17,126616.14115976525,107746.03060054027,-0.045225693666151034,0.019310498133690013
2021-02-18,128121.73928903771,107474.47275204485,-0.033872430201267845,0.011891044186638666
2021-02-19,128693.73920511437,106389.0933173566,-0.029559150566517367,0.004464503208048587
2021-02-22,131371.28974222374,104453.97636547984,-0.009368545851146437,0.020805600596015328
2021-02-23,133333.68890833092,104891.46581517512,0.0,0.014937808481273018
2021-02-24,134728.43933557702,106529.3659092498,0.0,0.010460600307886203
2021-02-25,134610.29033731652,107492.85669718936,-0.0008769417863307982,-0.0008769417863307982
2021-02-26,137041.98822473717,104187.55533037103,0.0,0.0180647250765682
2021-03-01,139840.08936762047,105786.10659865024,0.0,0.020417838205139427
2021-03-02,143808.5885093136,107078.4703789206,0.0,0.028378837282208025
