Date,Close,daily_return,target_direction,sentiment_score,smooth_sentiment,fear_greed_index
2021-04-12,12024.083984375,,1,-0.1111111111111111,-0.1111111111111111,44.0
2021-04-13,12186.6845703125,0.01352290836863701,1,0.0,-0.05555555555555555,47.0
2021-04-15,12237.583984375,0.004176641626262745,1,0.25,0.0462962962962963,52.0
2021-04-16,12298.033203125,0.004939636682141035,0,0.0,0.08333333333333333,54.0
2021-04-19,12076.4345703125,-0.01801903029146079,0,0.0,0.08333333333333333,54.0
2021-04-20,12055.384765625,-0.0017430479637795537,1,-0.3333333333333333,-0.1111111111111111,44.0
2021-04-22,12132.0341796875,0.006358105987712692,0,0.0,-0.1111111111111111,44.0
2021-04-23,12105.583984375,-0.0021801945923285437,1,0.0,-0.1111111111111111,44.0
2021-04-26,12216.833984375,0.00918997382890363,1,-0.5,-0.16666666666666666,42.0
2021-04-27,12362.533203125,0.011926102862357402,1,0.0,-0.16666666666666666,42.0
2021-04-28,12517.93359375,0.012570270839451947,1,0.0,-0.16666666666666666,42.0
2021-04-29,12532.783203125,0.0011862668278104227,0,0.3333333333333333,0.1111111111111111,56.0
2021-04-30,12364.3330078125,-0.013440765118357567,1,-0.5,-0.05555555555555556,47.0
2021-05-03,12395.2333984375,0.0024991554825866125,0,-1.0,-0.3888888888888889,31.0
2021-05-04,12300.43359375,-0.007648085489011414,1,0.0,-0.5,25.0
2021-05-05,12412.9833984375,0.009150068071152262,1,0.0,-0.3333333333333333,33.0
2021-05-06,12501.8837890625,0.00716188749887392,1,0.0,0.0,50.0
2021-05-07,12563.0830078125,0.004895199778095938,1,0.0,0.0,50.0
2021-05-10,12669.8837890625,0.008501160199577251,0,0.0,0.0,50.0
2021-05-11,12642.2333984375,-0.00218237128969323,0,-0.5,-0.16666666666666666,42.0
2021-05-12,12537.93359375,-0.008250109090723656,0,0.25,-0.08333333333333333,46.0
2021-05-14,12472.1337890625,-0.005248058158507152,1,0.0,-0.08333333333333333,46.0
2021-05-17,12672.0830078125,0.01603167686714091,1,1.0,0.4166666666666667,71.0
2021-05-18,12839.0830078125,0.013178575290032635,0,0.5,0.5,75.0
2021-05-19,12808.9833984375,-0.0023443737653759955,0,0.4,0.6333333333333333,82.0
2021-05-20,12736.43359375,-0.005663978352595134,1,0.3333333333333333,0.41111111111111115,71.0
2021-05-21,12917.8330078125,0.014242559561690404,1,0.3333333333333333,0.35555555555555557,68.0
2021-05-24,12962.43359375,0.0034526368246536876,1,0.0,0.2222222222222222,61.0
2021-05-25,12962.9833984375,4.241523657766422e-05,1,0.6666666666666666,0.3333333333333333,67.0
2021-05-26,13022.18359375,0.004566865010382948,1,0.2,0.2888888888888889,64.0
2021-05-27,13066.232421875,0.003382599224460492,1,0.0,0.2888888888888889,64.0
2021-05-28,13117.0322265625,0.0038878693602948378,1,0.0,0.06666666666666664,53.0
2021-05-31,13226.33203125,0.0083326626632938,0,0.3333333333333333,0.11111111111111106,56.0
2021-06-01,13210.3828125,-0.0012058686196835255,1,0.0,0.11111111111111106,56.0
2021-06-02,13274.232421875,0.0048332898661032075,1,0.4,0.24444444444444438,62.0
2021-06-03,13380.482421875,0.008004229293507636,1,0.25,0.21666666666666665,61.0
2021-06-04,13393.8828125,0.0010014878539126304,1,0.6666666666666666,0.43888888888888883,72.0
2021-06-07,13479.6328125,0.006402176366659962,1,0.3333333333333333,0.4166666666666666,71.0
2021-06-08,13496.5322265625,0.0012536998817080924,0,0.3333333333333333,0.44444444444444436,72.0
2021-06-09,13396.3828125,-0.007420381204691684,1,0.25,0.3055555555555555,65.0
2021-06-10,13517.1826171875,0.009017344933946125,1,1.0,0.5277777777777778,76.0
2021-06-11,13563.83203125,0.0034511196144664247,0,1.0,0.75,88.0
2021-06-14,13554.1328125,-0.0007150795385590936,1,0.5,0.8333333333333334,92.0
2021-06-15,13607.7822265625,0.00395815909469488,0,0.5,0.6666666666666666,83.0
2021-06-16,13510.58203125,-0.007142985807251145,0,0.5,0.5,75.0
2021-06-17,13425.1328125,-0.006324614184078481,0,0.0,0.3333333333333333,67.0
2021-06-18,13386.5322265625,-0.002875247975316797,1,0.0,0.16666666666666666,58.0
2021-06-21,13456.08203125,0.005195505715027027,1,0.0,0.0,50.0
2021-06-22,13491.08203125,0.0026010542978793794,0,0.0,0.0,50.0
2021-06-23,13423.33203125,-0.0050218358944870145,1,0.0,0.0,50.0
2021-06-24,13468.232421875,0.003344951202910673,1,0.5714285714285714,0.19047619047619047,60.0
2021-06-25,13539.3828125,0.0052828306192160834,0,0.0,0.19047619047619047,60.0
2021-06-28,13533.0322265625,-0.00046904545247339335,0,0.0,0.19047619047619047,60.0
2021-06-29,13481.9326171875,-0.003775917216446323,0,0.25,0.08333333333333333,54.0
2021-06-30,13473.5322265625,-0.0006230850474872041,0,-0.5,-0.08333333333333333,46.0
2021-07-01,13454.08203125,-0.0014435854670800108,1,-0.5,-0.25,38.0
2021-07-02,13494.4326171875,0.0029991333369141504,1,0.0,-0.3333333333333333,33.0
2021-07-05,13585.732421875,0.0067657386773871675,0,-0.1666666666666666,-0.2222222222222222,39.0
2021-07-06,13574.1328125,-0.000853808172780024,1,1.0,0.2777777777777778,64.0
2021-07-07,13630.982421875,0.004188084068445841,0,-0.2,0.2111111111111111,61.0
2021-07-08,13532.6826171875,-0.007211498162432384,0,0.0,0.26666666666666666,63.0
2021-07-09,13527.9326171875,-0.0003510020987240736,1,-0.25,-0.15,42.0
2021-07-12,13548.982421875,0.0015560252466630953,1,0.25,0.0,50.0
2021-07-13,13628.83203125,0.005893402684328697,1,-1.0,-0.3333333333333333,33.0
2021-07-14,13661.08203125,0.002366306953233588,1,0.1666666666666666,-0.19444444444444445,40.0
2021-07-15,13720.33203125,0.0043371381464853975,1,-0.1428571428571428,-0.3253968253968254,34.0
2021-07-16,13742.33203125,0.0016034597377010407,0,0.0,0.007936507936507936,50.0
2021-07-19,13619.83203125,-0.008914062018108404,0,0.0,-0.047619047619047596,48.0
2021-07-20,13495.58203125,-0.009122726309319762,1,0.0,0.0,50.0
2021-07-22,13670.1826171875,0.012937610659043752,1,0.1666666666666666,0.05555555555555553,53.0
2021-07-23,13686.982421875,0.0012289378392340566,0,0.7272727272727273,0.29797979797979796,65.0
2021-07-26,13675.08203125,-0.000869467809499036,0,0.0,0.29797979797979796,65.0
2021-07-27,13610.2822265625,-0.004738531333078777,0,0.0,0.24242424242424243,62.0
2021-07-28,13579.1328125,-0.002288667754567708,1,0.0,0.0,50.0
2021-07-29,13643.732421875,0.004757270605346253,1,0.5,0.16666666666666666,58.0
2021-07-30,13664.232421875,0.0015025214044166457,1,0.0,0.16666666666666666,58.0
2021-08-02,13783.681640625,0.00874174377762893,1,0.0,0.16666666666666666,58.0
2021-08-03,13939.181640625,0.011281456148964697,1,0.0,0.0,50.0
2021-08-04,13969.3310546875,0.0021629256895994153,1,0.25,0.08333333333333333,54.0
2021-08-05,13981.53125,0.0008733557294002825,0,0.0,0.08333333333333333,54.0
2021-08-06,13954.6318359375,-0.0019239247534135195,0,0.0,0.08333333333333333,54.0
2021-08-09,13935.03125,-0.001404593554881317,0,0.0,0.0,50.0
2021-08-10,13892.7314453125,-0.003035501243493832,0,0.25,0.08333333333333333,54.0
2021-08-11,13876.53125,-0.0011660914469030503,1,0.0,0.08333333333333333,54.0
2021-08-12,13971.931640625,0.006874945107409269,1,0.0,0.08333333333333333,54.0
2021-08-13,14065.28125,0.006681224312862666,1,0.5,0.16666666666666666,58.0
2021-08-16,14070.78125,0.0003910337733203928,1,0.25,0.25,62.0
2021-08-17,14113.0810546875,0.0030062157840382575,0,0.0,0.25,62.0
2021-08-18,14095.53125,-0.0012435133490338313,0,-0.2,0.016666666666666663,51.0
2021-08-20,13943.931640625,-0.010755154004926215,0,0.25,0.016666666666666663,51.0
2021-08-23,13930.53125,-0.0009610195295248758,1,0.1666666666666666,0.0722222222222222,54.0
2021-08-24,14063.2314453125,0.009525853173223409,1,-0.25,0.055555555555555546,53.0
2021-08-25,14093.5810546875,0.0021580821941968864,1,-0.125,-0.06944444444444446,47.0
2021-08-26,14106.931640625,0.0009472813109525635,1,0.0,-0.125,44.0
2021-08-27,14192.4814453125,0.006064380750320897,1,0.25,0.041666666666666664,52.0
2021-08-30,14397.8818359375,0.014472479066924615,1,0.0,0.08333333333333333,54.0
2021-08-31,14555.880859375,0.01097376858887178,0,0.5,0.25,62.0
2021-09-01,14551.330078125,-0.00031264210623627164,1,1.0,0.5,75.0
2021-09-02,14684.330078125,0.009140057938754165,1,0.5,0.6666666666666666,83.0
2021-09-03,14759.2802734375,0.005104093609564986,1,0.0,0.5,75.0
2021-09-06,14805.830078125,0.003153934597425856,0,0.0,0.16666666666666666,58.0
2021-09-07,14784.23046875,-0.001458858386259143,1,0.0,0.0,50.0
2021-09-08,14803.580078125,0.0013088005774735123,1,0.0,0.0,50.0
2021-09-09,14836.4306640625,0.002219097391585878,1,0.0,0.0,50.0
2021-09-13,14852.1806640625,0.001061576086366367,1,0.0,0.0,50.0
2021-09-14,14904.330078125,0.0035112294444872294,1,0.0,0.0,50.0
2021-09-15,15020.5302734375,0.007796405118741134,1,0.25,0.08333333333333333,54.0
2021-09-16,15104.880859375,0.005615686290827426,0,0.0,0.08333333333333333,54.0
2021-09-17,15027.23046875,-0.005140748301685871,0,0.0,0.08333333333333333,54.0
2021-09-20,14826.73046875,-0.013342445264079239,1,0.0,0.0,50.0
2021-09-21,14946.2802734375,0.00806312659014563,1,0.5,0.16666666666666666,58.0
2021-09-22,14990.5302734375,0.0029606028517101812,1,0.0,0.16666666666666666,58.0
2021-09-23,15205.4306640625,0.014335743079468832,0,-0.4,0.033333333333333326,52.0
2021-09-24,15191.9306640625,-0.0008878406865454602,0,0.125,-0.09166666666666667,45.0
2021-09-27,15189.0302734375,-0.0001909165259594836,0,0.0,-0.09166666666666667,45.0
2021-09-28,15095.580078125,-0.0061524793637369735,0,0.0,0.041666666666666664,52.0
2021-09-29,15086.9306640625,-0.0005729765943234266,0,0.1666666666666666,0.05555555555555553,53.0
2021-09-30,15052.630859375,-0.002273477982450256,0,-0.4,-0.0777777777777778,46.0
2021-10-01,15013.9306640625,-0.002570992119188098,1,0.0,-0.0777777777777778,46.0
2021-10-04,15181.130859375,0.011136337249292971,1,0.0,-0.13333333333333333,43.0
2021-10-05,15280.0791015625,0.006517843967229542,0,0.25,0.08333333333333333,54.0
2021-10-06,15134.5302734375,-0.009525397555704807,1,0.25,0.16666666666666666,58.0
2021-10-07,15290.1298828125,0.010281099351203027,1,0.1666666666666666,0.2222222222222222,61.0
2021-10-08,15365.1796875,0.004908382418115531,1,0.0,0.13888888888888887,57.0
2021-10-11,15427.9794921875,0.004087150685168295,1,-0.25,-0.02777777777777779,49.0
2021-10-12,15481.8798828125,0.0034936778761143206,1,0.3333333333333333,0.02777777777777778,51.0
2021-10-13,15631.3798828125,0.009656450064954303,1,0.25,0.11111111111111112,56.0
2021-10-14,15769.2294921875,0.008818774184265799,1,0.0,0.19444444444444445,60.0
2021-10-18,15886.1298828125,0.007413196103393416,0,0.0,0.08333333333333336,54.0
2021-10-19,15757.8291015625,-0.00807627673929645,0,0.0,0.0,50.0
2021-10-20,15568.6298828125,-0.012006680459000552,0,0.0,0.0,50.0
2021-10-21,15487.6298828125,-0.005202769968179588,0,0.0,0.0,50.0
2021-10-22,15399.6796875,-0.005678738191574606,0,0.1428571428571428,0.047619047619047616,52.0
2021-10-25,15334.3291015625,-0.004243632806891773,1,0.5,0.21428571428571427,61.0
2021-10-26,15499.6298828125,0.010779785679254639,0,0.25,0.2976190476190476,65.0
2021-10-27,15484.3291015625,-0.0009871707496039717,0,0.0,0.25,62.0
2021-10-28,15190.830078125,-0.018954584439043187,0,0.0,0.08333333333333336,54.0
2021-10-29,15086.880859375,-0.00684289260135218,1,0.0,0.0,50.0
2021-11-01,15302.6796875,0.014303740457451974,1,0.25,0.08333333333333336,54.0
2021-11-02,15314.6298828125,0.0007809217442003025,0,0.25,0.16666666666666666,58.0
2021-11-03,15282.7294921875,-0.002083001082566205,1,-0.25,0.08333333333333336,54.0
2021-11-04,15376.8798828125,0.006160574305337896,1,0.0,1.850371707708594e-17,50.0
2021-11-08,15520.1298828125,0.009315934122638092,1,0.5,0.08333333333333336,54.0
2021-11-09,15541.9296875,0.0014046148358359822,0,0.0,0.16666666666666666,58.0
2021-11-10,15521.0791015625,-0.0013415699566746708,0,0.0769230769230769,0.1923076923076923,60.0
2021-11-11,15411.0791015625,-0.0070871360992501575,1,0.0,0.02564102564102565,51.0
2021-11-12,15578.9794921875,0.01089478481801942,1,0.3333333333333333,0.13675213675213674,57.0
2021-11-15,15592.5791015625,0.0008729460990573035,0,0.3333333333333333,0.22222222222222224,61.0
2021-11-16,15525.3798828125,-0.004309692342254423,0,-0.25,0.13888888888888892,57.0
2021-11-17,15454.9296875,-0.004537743736015898,0,0.0,0.02777777777777779,51.0
2021-11-18,15302.529296875,-0.00986095658191588,0,-0.5,-0.25,38.0
2021-11-22,14976.6806640625,-0.02129377611314509,1,0.0,-0.16666666666666666,42.0
2021-11-23,15107.7802734375,0.008753582473690624,0,-0.1666666666666666,-0.2222222222222222,39.0
2021-11-24,15046.48046875,-0.00405749908841857,1,0.0909090909090909,-0.025252525252525235,49.0
2021-11-25,15150.580078125,0.006918535506772017,0,0.0909090909090909,0.005050505050505065,50.0
2021-11-26,14707.1806640625,-0.029266167485078487,0,0.0,0.0606060606060606,53.0
2021-11-29,14656.4306640625,-0.0034506953548214536,0,0.0,0.0303030303030303,52.0
2021-11-30,14648.330078125,-0.0005526984109004429,1,0.25,0.08333333333333333,54.0
2021-12-01,14784.6806640625,0.0093082682606338,1,0.0,0.08333333333333333,54.0
2021-12-02,14973.9306640625,0.012800411743759454,0,0.0,0.08333333333333333,54.0
2021-12-03,14856.2802734375,-0.007857014518396377,0,0.0,0.0,50.0
2021-12-06,14618.330078125,-0.016016808442820385,1,0.0,0.0,50.0
2021-12-07,14834.48046875,0.014786257354282073,1,0.6666666666666666,0.2222222222222222,61.0
2021-12-08,15073.23046875,0.016094260968757546,1,0.0,0.2222222222222222,61.0
2021-12-09,15126.580078125,0.0035393613522731737,1,0.0,0.2222222222222222,61.0
2021-12-10,15154.98046875,0.0018775156366024337,0,0.0,0.0,50.0
2021-12-13,15064.23046875,-0.005988130449071094,0,0.0,0.0,50.0
2021-12-14,15043.23046875,-0.0013940307169066912,0,0.25,0.08333333333333333,54.0
2021-12-15,14953.080078125,-0.005992754735246075,0,0.2,0.15,57.0
2021-12-16,14936.4306640625,-0.0011134437838566935,0,0.1428571428571428,0.19761904761904758,60.0
2021-12-17,14673.130859375,-0.017628027110988875,0,0.3333333333333333,0.22539682539682537,61.0
2021-12-20,14300.681640625,-0.025383077566709877,1,-0.5,-0.007936507936507964,50.0
2021-12-21,14461.3818359375,0.011237240248463953,1,0.125,-0.013888888888888895,49.0
2021-12-22,14639.73046875,0.012332751796186647,1,0.5,0.041666666666666664,52.0
2021-12-23,14751.4306640625,0.007629935233502749,0,0.5,0.375,69.0
2021-12-24,14664.7802734375,-0.005874033007259305,1,0.3333333333333333,0.4444444444444444,72.0
2021-12-27,14727.580078125,0.004282355651877623,1,0.0,0.27777777777777773,64.0
2021-12-28,14867.830078125,0.009522949408933501,0,0.0,0.1111111111111111,56.0
2021-12-29,14863.380859375,-0.0002992513854827017,0,0.0,0.0,50.0
2021-12-30,14842.0302734375,-0.0014364555506920507,1,0.0,0.0,50.0
2021-12-31,14996.1806640625,0.010386071702122912,1,0.2857142857142857,0.09523809523809523,55.0
2022-01-03,15204.580078125,0.013896832715673879,1,0.3333333333333333,0.20634920634920637,60.0
2022-01-04,15318.7294921875,0.007507567685261396,1,0.3333333333333333,0.31746031746031744,66.0
2022-01-05,15396.3798828125,0.005068983734232146,0,0.25,0.3055555555555555,65.0
2022-01-06,15290.0791015625,-0.006904271137702089,1,0.0,0.19444444444444442,60.0
2022-01-07,15348.529296875,0.0038227529710115338,1,0.3333333333333333,0.19444444444444442,60.0
2022-01-10,15495.529296875,0.009577464860423435,1,0.5,0.27777777777777773,64.0
2022-01-11,15530.529296875,0.0022587160031415365,1,0.0,0.27777777777777773,64.0
2022-01-12,15667.8798828125,0.00884390887856834,1,0.2,0.2333333333333333,62.0
2022-01-13,15721.029296875,0.003392253097421527,1,0.25,0.15,57.0
2022-01-14,15730.3798828125,0.0005947820439058393,1,-0.3333333333333333,0.03888888888888888,52.0
2022-01-17,15781.2294921875,0.0032325735140421585,0,0.0,-0.02777777777777779,49.0
2022-01-18,15573.0791015625,-0.013189744862911024,0,0.0,-0.11111111111111112,44.0
2022-01-19,15472.4794921875,-0.006459840646728998,0,0.1666666666666666,0.05555555555555552,53.0
2022-01-20,15361.0791015625,-0.007199905527827566,0,0.0,0.05555555555555552,53.0
2022-01-21,15180.7802734375,-0.011737380358041394,0,-0.2,-0.011111111111111155,49.0
2022-01-24,14712.0302734375,-0.03087785947473287,1,0.0,-0.0666666666666667,47.0
2022-01-25,14832.1806640625,0.008166812356410924,0,-0.4,-0.20000000000000004,40.0
2022-01-27,14679.6806640625,-0.010281697846999616,1,0.125,-0.09166666666666669,45.0
2022-01-28,14723.23046875,0.002966672483149857,1,0.0,-0.09166666666666669,45.0
2022-01-31,14921.4306640625,0.01346173285361374,1,0.25,0.12499999999999999,56.0
2022-02-01,15116.1806640625,0.01305169754727653,1,0.3333333333333333,0.19444444444444442,60.0
2022-02-02,15293.3291015625,0.011719126771298605,0,1.0,0.5277777777777778,76.0
2022-02-03,15135.880859375,-0.010295223567209688,0,0.3333333333333333,0.5555555555555555,78.0
2022-02-04,15085.4306640625,-0.0033331522480405384,0,0.25,0.5277777777777778,76.0
2022-02-07,14870.580078125,-0.014242257362219735,0,0.25,0.27777777777777773,64.0
2022-02-08,14857.0302734375,-0.0009111819859288772,1,0.5,0.3333333333333333,67.0
2022-02-09,15016.330078125,0.010722183488601322,1,0.3333333333333333,0.3611111111111111,68.0
2022-02-10,15112.1806640625,0.0063830899719719,0,0.3333333333333333,0.38888888888888884,69.0
2022-02-11,14891.2802734375,-0.014617373596539363,0,0.0,0.2222222222222222,61.0
2022-02-14,14400.3818359375,-0.032965495812717016,1,-0.1428571428571428,0.0634920634920635,53.0
2022-02-15,14805.5302734375,0.028134562132853702,0,-0.2857142857142857,-0.14285714285714282,43.0
2022-02-16,14789.880859375,-0.0010569978767039911,0,-0.25,-0.22619047619047616,39.0
2022-02-17,14772.0302734375,-0.001206945891398803,0,0.2,-0.1119047619047619,44.0
2022-02-18,14710.6806640625,-0.004153092583713214,0,0.0,-0.016666666666666663,49.0
2022-02-21,14597.080078125,-0.007722320165308272,0,0.0,0.06666666666666667,53.0
2022-02-22,14489.03125,-0.007402085043495821,1,-0.1666666666666666,-0.05555555555555553,47.0
2022-02-23,14506.931640625,0.001235444269264141,0,0.0,-0.05555555555555553,47.0
2022-02-24,13775.6826171875,-0.050406870422531,1,-0.25,-0.13888888888888887,43.0
2022-02-25,14187.3818359375,0.02988593960754704,1,0.0,-0.08333333333333333,46.0
2022-02-28,14307.931640625,0.00849697330215915,0,-1.0,-0.4166666666666667,29.0
2022-03-02,14199.78125,-0.007558771829600075,0,0.0,-0.3333333333333333,33.0
2022-03-03,14135.931640625,-0.004496520633020307,0,0.0,-0.3333333333333333,33.0
2022-03-04,13893.1318359375,-0.017176073771446476,0,-0.3333333333333333,-0.1111111111111111,44.0
2022-03-07,13564.232421875,-0.02367352573533732,1,-0.3333333333333333,-0.2222222222222222,39.0
2022-03-08,13706.732421875,0.010505570501003092,1,0.1666666666666666,-0.16666666666666666,42.0
2022-03-09,13979.5810546875,0.01990617635294689,1,0.0,-0.05555555555555557,47.0
2022-03-10,14188.9814453125,0.0149790175975828,1,0.3333333333333333,0.16666666666666663,58.0
2022-03-11,14237.1318359375,0.003393505785498574,1,-1.0,-0.22222222222222224,39.0
2022-03-14,14374.5810546875,0.009654277303455805,0,0.1666666666666666,-0.1666666666666667,42.0
2022-03-15,14215.8310546875,-0.011043800121620428,1,-0.3333333333333333,-0.3888888888888889,31.0
2022-03-16,14481.78125,0.018708030103157913,1,-0.2,-0.12222222222222225,44.0
2022-03-17,14721.6806640625,0.016565601283509146,0,0.0,-0.17777777777777778,41.0
2022-03-21,14602.330078125,-0.008107130473822166,1,0.0,-0.0666666666666667,47.0
2022-03-22,14724.0302734375,0.008334299708429027,0,0.5,0.16666666666666666,58.0
2022-03-23,14695.130859375,-0.0019627380225260005,1,0.0,0.16666666666666666,58.0
2022-03-24,14699.330078125,0.00028575579150569297,0,0.0,0.16666666666666666,58.0
2022-03-25,14651.6806640625,-0.003241604468315895,1,0.4,0.13333333333333333,57.0
2022-03-28,14675.830078125,0.0016482350807531798,1,0.0,0.13333333333333333,57.0
2022-03-29,14761.880859375,0.005863435375847104,1,0.2,0.19999999999999998,60.0
2022-03-30,14896.880859375,0.00914517609822485,0,0.4,0.19999999999999998,60.0
2022-03-31,14894.48046875,-0.0001611337734159779,1,0.0,0.19999999999999998,60.0
2022-04-01,15087.2802734375,0.012944379301581765,1,0.0,0.13333333333333333,57.0
2022-04-04,15384.1796875,0.019678789595048318,1,0.0,0.0,50.0
2022-04-05,15390.4794921875,0.0004094989018244011,0,0.0,0.0,50.0
2022-04-06,15327.8798828125,-0.004067424241510964,0,0.0,0.0,50.0
2022-04-07,15201.23046875,-0.008262683099736101,1,-0.4,-0.13333333333333336,43.0
2022-04-08,15342.3798828125,0.009285393991800062,0,-0.4,-0.26666666666666666,37.0
2022-04-11,15325.4794921875,-0.0011015494828108263,0,0.0,-0.26666666666666666,37.0
2022-04-12,15164.6806640625,-0.010492254301535553,0,0.5,0.033333333333333305,52.0
2022-04-13,15138.5302734375,-0.001724427385205174,0,0.0,0.16666666666666666,58.0
2022-04-18,14926.0302734375,-0.014037029761922004,0,-0.6666666666666666,-0.05555555555555556,47.0
2022-04-19,14726.630859375,-0.01335917256025887,1,0.0,-0.22222222222222224,39.0
2022-04-20,14850.2802734375,0.008396313810214329,1,0.0,-0.22222222222222224,39.0
2022-04-21,15053.9306640625,0.013713572193601475,0,0.0,0.0,50.0
2022-04-22,14894.830078125,-0.010568707235865893,0,0.0,0.0,50.0
2022-04-25,14672.98046875,-0.014894403508557974,1,0.25,0.0833333333333333,54.0
2022-04-26,14898.330078125,0.015358134624041897,0,0.25,0.16666666666666663,58.0
2022-04-27,14755.98046875,-0.009554735908557266,1,0.0,0.16666666666666663,58.0
2022-04-28,14913.880859375,0.010700772541641701,0,0.3333333333333333,0.19444444444444442,60.0
2022-04-29,14783.330078125,-0.008753642494598202,0,0.0,0.11111111111111106,56.0
2022-05-02,14736.2802734375,-0.0031826255951031834,0,-0.5,-0.0555555555555556,47.0
2022-05-04,14393.3310546875,-0.02327244137505813,1,0.2,-0.10000000000000003,45.0
2022-05-05,14395.4814453125,0.00014940187346690337,0,0.3333333333333333,0.011111111111111072,51.0
2022-05-06,14145.7314453125,-0.017349193977900912,0,-0.25,0.0944444444444444,55.0
2022-05-09,13991.7314453125,-0.010886676351475,0,-0.1666666666666666,-0.0277777777777778,49.0
2022-05-10,13855.931640625,-0.00970571835360634,0,-0.2857142857142857,-0.23412698412698416,38.0
2022-05-11,13771.7822265625,-0.006073168967994702,0,0.0,-0.15079365079365079,42.0
2022-05-12,13465.232421875,-0.022259268963477963,1,-0.1666666666666666,-0.1507936507936508,42.0
2022-05-13,13471.482421875,0.00046415834529867084,1,-0.5,-0.22222222222222224,39.0
2022-05-16,13571.1826171875,0.007400833270628571,1,-0.1666666666666666,-0.2777777777777778,36.0
2022-05-17,13926.03125,0.02614721522965091,0,-0.6666666666666666,-0.4444444444444445,28.0
2022-05-18,13918.181640625,-0.0005636644952236036,0,0.0,-0.2777777777777778,36.0
2022-05-19,13550.8828125,-0.026389857354132573,1,-0.5,-0.3888888888888889,31.0
2022-05-20,13895.03125,0.02539675401683361,0,0.0,-0.1666666666666667,42.0
2022-05-23,13835.78125,-0.004264114195496993,0,0.3333333333333333,-0.0555555555555556,47.0
2022-05-24,13747.232421875,-0.0063999875774994885,0,-0.1666666666666666,0.05555555555555553,53.0
2022-05-25,13587.732421875,-0.011602335299590871,1,0.0,0.05555555555555553,53.0
2022-05-26,13722.5322265625,0.009920699091077623,1,0.0,-0.05555555555555557,47.0
2022-05-27,13873.1318359375,0.010974622386638488,1,0.2,0.06666666666666664,53.0
2022-05-30,14154.78125,0.020301790352262428,0,-1.0,-0.26666666666666666,37.0
2022-05-31,14119.5810546875,-0.002486806026232302,0,-0.3333333333333333,-0.37777777777777777,31.0
2022-06-01,14082.8818359375,-0.002599171930658395,1,0.0,-0.4444444444444444,28.0
2022-06-02,14167.931640625,0.006039232997784971,0,0.5,0.05555555555555556,53.0
2022-06-03,14077.8818359375,-0.006355889269630044,0,-1.0,-0.16666666666666666,42.0
